"Chaz Corzine","15382"
"Anthony Gottlieb","4225"
"Sted Mays","13970"
"Eric Newby","6473"
"Robert K. Ressler","9490"
"Henri Mitterand","699"
"Rita Konig","6099"
"Dorothy Day","11354"
"Bill Nye","12726"
"Raymond Benson","15626"
"Mark Shepherd","2989"
"Martha Ostenso","12572"
"Peter McWilliams","2888"
"Rainer Maria Rilke","8569"
"Virginia Lanier","4475"
"Stephen Knight","9159"
"Barbara Fitzgerald","7821"
"Michael Goddart","11258"
"Catherine Crowe","9094"
"Dorothy Sayer","9301"
"Theodor Seuss Geisel","975"
"Sally Mandel","741"
"Robert Lawrence","6687"
"Cristina Garcia","1866"
"Megan Stine","2568"
"Colum Mccann","9940"
"Roderick MacLeish","8568"
"Bel Kaufman","6238"
"Kirk Kazanjian","883"
"Katie Maxwell","6576"
"Susan Dawn","11903"
"M A Quayam","12589"
"Tami Hoag","565"
"Andrea Parnell","8383"
"Charles Caldwell Ryrie","14935"
"Alexandria Ripley","9853"
"Marty Becker","3152"
"Erri De Luca","13106"
"Stephen Jaramillo","43"
"Raisa Gorbachev","8199"
"Cleveland Amory","2468"
"Michael B. Friedland","14151"
"Judy Alsager","5320"
"Günter De Bruyn","11817"
"Paula Huntley","6281"
"Ralph Edney","10458"
"Michele Maks","14529"
"Neal Pollack","2580"
"Judith W. Steinbergh","10339"
"Anna Gekoski","11014"
"Jeffrey Konvitz","12666"
"Iola Haverstick","12276"
"Frances Hill","2878"
"Nicola Griffith","808"
"Jr. Buckley","9852"
"Margaret MacMillan","9650"
"Kevin J. Anderson","1441"
"Joy Sikorski","8747"
"George Barker","14651"
"Rising Moon Editors","9199"
"G. Cabrera Infante","5904"
"Harris","4738"
"James Barkley","8483"
"Anne West","6530"
"Chretien (translated By W. W.Comfort) DeTroyes","10644"
"Grace Slick","1333"
"Otto Penzler","7452"
"S.A.R.K.","12361"
"Paula R. Pearlman","13248"
"Wendy Holden","1353"
"Simon Callow","9090"
"Anna Maclean","7523"
"François Cheng","13649"
"Karen Armstrong","306"
"Paul Meisel","12709"
"Alice Elliott Dark","6572"
"Arthur J. Roth","11453"
"William J. Lederer","11531"
"Evan Forbes","6923"
"Mary Downing Hahn","11408"
"Homer Hickam","303"
"Patrick Mccabe","4642"
"Mary Norton","3026"
"Alfredo Bryce Echenique","15576"
"Eliza Osborne","1202"
"Rüdiger Nehberg","13754"
"Susan Dworkin","6274"
"H. Castor","7198"
"Robert Fisher","10461"
"Daphne Patai","5752"
"Hal B. Pickle","5265"
"Alex Landragin","6076"
"Cynthia Tobias","11987"
"Jim Bouton","6855"
"Eduardo Mendoza","2607"
"Raul Correa","12044"
"Linda Ladd","8378"
"Allen Drury","4489"
"Tom Park","10322"
"Mark Crispin Miller","14135"
"Edith Pargeter","4905"
"Hysteria Magazine","9874"
"Richard Blow","3293"
"George Mackay Brown","3233"
"Paul Hogarth","12812"
"Brian Kilcommons","12608"
"Alice Koller","9412"
"Yvonne Navarro","6116"
"Bill Reynolds","14735"
"Bob Burns","7661"
"Karen Fox","14748"
"Hanoch McCarty","12350"
"Linda Davies","5106"
"Kiana Davenport","204"
"Lyrick Publishing","11883"
"Sandra Marton","11164"
"Muriel Spark","5128"
"Quint Buchholz","8131"
"James Burke","642"
"Sister Carol Anne O'Marie","13014"
